strike,maturity_days,moneyness,w,price
1312.2851,240,1.025,call,64.32370525140662
1344.292,240,1.05,call,48.28011547892985
1376.299,240,1.075,call,34.39522364100125
1408.3059,240,1.1,call,23.007089041255405
1440.3129,240,1.125,call,14.37055048963617
1472.3198,240,1.15,call,8.445276172785345
1504.3268,240,1.175,call,4.768685160078973
1536.3337,240,1.2,call,2.646777320088473
1568.3407,240,1.225,call,1.4655496188785557
960.2086,250,0.75,put,22.898976306108203
992.2155,250,0.775,put,27.08788499958979
1024.2225,250,0.8,put,31.869894153833194
1056.2294,250,0.825,put,37.30790880060935
1088.2364,250,0.85,put,43.4705598653285
1120.2433,250,0.875,put,50.433283135858716
1152.2503,250,0.9,put,58.27990409715165
1184.2572,250,0.925,put,67.10500968000875
1216.2642,250,0.95,put,77.01752419684568
1248.2711,250,0.975,put,88.14605612562558
1280.2781,250,1.0,call,83.86923481007805
1312.2851,250,1.025,call,65.96331753238
1344.292,250,1.05,call,49.86626985394927
1376.299,250,1.075,call,35.8749377237635
1408.3059,250,1.1,call,24.315040957253956
1440.3129,250,1.125,call,15.441398685889325
1472.3198,250,1.15,call,9.245115686729916
1504.3268,250,1.175,call,5.3188422101506765
1536.3337,250,1.2,call,3.0055061220077257
1568.3407,250,1.225,call,1.6933490281100805
960.2086,260,0.75,put,24.285218819218777
992.2155,260,0.775,put,28.601092216068558
1024.2225,260,0.8,put,33.50856639690712
1056.2294,260,0.825,put,39.06841403412304
1088.2364,260,0.85,put,45.346941169911645
1120.2433,260,0.875,put,52.417082751658235
1152.2503,260,0.9,put,60.360000700391275
1184.2572,260,0.925,put,69.26744958475616
1216.2642,260,0.95,put,79.2452927797021
1248.2711,260,0.975,put,90.41867177452527
1280.2781,260,1.0,call,85.49620314483634
1312.2851,260,1.025,call,67.58122427964501
1344.292,260,1.05,call,51.436244035855474
1376.299,260,1.075,call,37.34664602648398
1408.3059,260,1.1,call,25.62611095744151
1440.3129,260,1.125,call,16.527936966927772
1472.3198,260,1.15,call,10.069980063072535
1504.3268,260,1.175,call,5.896249264258316
1536.3337,260,1.2,call,3.3882114478288097
1568.3407,260,1.225,call,1.940051946356246
960.2086,270,0.75,put,25.673829917130153
992.2155,270,0.775,put,30.112553920400376
1024.2225,270,0.8,put,35.141198639226616
1056.2294,270,0.825,put,40.81856542750284
1088.2364,270,0.85,put,47.20882277238368
1120.2433,270,0.875,put,54.3826143332292
1152.2503,270,0.9,put,62.41866304764561
1184.2572,270,0.925,put,71.4061198179914
1216.2642,270,0.95,put,81.44800632244804
1248.2711,270,0.975,put,92.66619581887248
1280.2781,270,1.0,call,87.09988405455901
1312.2851,270,1.025,call,69.17887540418708
1344.292,270,1.05,call,52.99094961139612
1376.299,270,1.075,call,38.810523471224535
1408.3059,270,1.1,call,26.939589431188043
1440.3129,270,1.125,call,17.62874067107235
1472.3198,270,1.15,call,10.918455242131314
1504.3268,270,1.175,call,6.500152905340608
1536.3337,270,1.2,call,3.7947701470877107
1568.3407,270,1.225,call,2.2058664359997286
960.2086,280,0.75,put,27.063995115830185
992.2155,280,0.775,put,31.62176003817352
1024.2225,280,0.8,put,36.767630559251124
1056.2294,280,0.825,put,42.55858240045232
1088.2364,280,0.85,put,49.05681365192334
1120.2433,280,0.875,put,56.33086134065517
1152.2503,280,0.9,put,64.45720496829897
1184.2572,280,0.925,put,73.52258878036805
1216.2642,280,0.95,put,83.62738045506617
1248.2711,280,0.975,put,94.89035650741984
1280.2781,280,1.0,call,88.68186481282733
1312.2851,280,1.025,call,70.7575548583238
1344.292,280,1.05,call,54.53119859978974
1376.299,280,1.075,call,40.266731872917205
1408.3059,280,1.1,call,28.25484261792695
1440.3129,280,1.125,call,18.742495429939293
1472.3198,280,1.15,call,11.789169256740355
1504.3268,280,1.175,call,7.1297663823881665
1536.3337,280,1.2,call,4.225014318278644
1568.3407,280,1.225,call,2.49096804657433
960.2086,290,0.75,put,28.455034036437347
992.2155,290,0.775,put,33.12830844602615
1024.2225,290,0.8,put,38.3877748008634
1056.2294,290,0.825,put,44.28871494280817
1088.2364,290,0.85,put,50.89150582956142
1120.2433,290,0.875,put,58.26274081503863
1152.2503,290,0.9,put,66.47682663032217
1184.2572,290,0.925,put,75.61827119555356
1216.2642,290,0.95,put,85.7849498521252
1248.2711,290,0.975,put,97.09269182520444
1280.2781,290,1.0,call,90.24355484774198
1312.2851,290,1.025,call,72.318404029234
1344.292,290,1.05,call,56.057717003236306
1376.299,290,1.075,call,41.71542103741762
1408.3059,290,1.1,call,29.571302977483267
1440.3129,290,1.125,call,19.86798838209265
1472.3198,290,1.15,call,12.680795928693158
1504.3268,290,1.175,call,7.7842736707277
1536.3337,290,1.2,call,4.678731356783719
1568.3407,290,1.225,call,2.795500185620582
960.2086,300,0.75,put,29.84637832904878
992.2155,300,0.775,put,34.63188480180788
1024.2225,300,0.8,put,40.001600359676935
1056.2294,300,0.825,put,46.00923211465778
1088.2364,300,0.85,put,52.713469292113004
